trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,0,-239.32314643115035,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-94.69358668066756,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-91.74954273414475,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,2,-65.34645399225785,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-65.85363613807483,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-35.74603152067019,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,0,-106.15531915805008,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,12,-39.4774009694312,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-136.61098092589094,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-135.94220075272196,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,19.41677615937714,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-76.82978684034569,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,9,-50.499558446771026,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-6.616996423448126,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-36.56227868847879,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,8,-31.661422548157766,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,7,-48.454360076037936,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-181.39654167480674,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,5,-72.85016370637759,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-90.25857510127501,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,-121.23701671250447,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,15,-19.126868592810304,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-66.07401087719218,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
